ax,ay,az,gx,gy,gz,name,n,initial_row_angle
6450,-8098,648,12612,-5480,-10844,X,1,-0.7764851450920105
1233,-7858,-5037,12440,-4171,-11396,X,1,-0.7764851450920105
-5263,-6929,-10725,11112,-4164,-11036,X,1,-0.7764851450920105
-11920,-4283,-13795,8137,-5290,-9748,X,1,-0.7764851450920105
-13510,-2079,-11896,4680,-3757,-7029,X,1,-0.7764851450920105
-11205,-723,-8979,2427,-1048,-3796,X,1,-0.7764851450920105
-7227,-371,-8053,1294,-196,-1342,X,1,-0.7764851450920105
-5234,-318,-8035,556,678,-386,X,1,-0.7764851450920105
-6441,-534,-8067,-240,927,-257,X,1,-0.7764851450920105
-8481,-823,-7180,-1088,887,203,X,1,-0.7764851450920105
-9053,-1199,-5873,-1751,319,1329,X,1,-0.7764851450920105
-8690,-1708,-5295,-2100,139,2790,X,1,-0.7764851450920105
-8080,-2474,-5838,-2466,633,4302,X,1,-0.7764851450920105
-7085,-3843,-7406,-3079,1323,5842,X,1,-0.7764851450920105
-6119,-5460,-9284,-4140,2137,7297,X,1,-0.7764851450920105
-5095,-7321,-9801,-6081,3911,8840,X,1,-0.7764851450920105
-3806,-10257,-7793,-8666,5947,10269,X,1,-0.7764851450920105
-2285,-13160,-4048,-11027,6440,11368,X,1,-0.7764851450920105
2359,-16256,516,-12560,5771,12678,X,1,-0.7764851450920105
13477,-17470,8034,-13094,5203,13483,X,1,-0.7764851450920105
23710,-13801,16603,-12271,3832,11683,X,1,-0.7764851450920105
21009,-10282,21065,-10256,2511,8044,X,1,-0.7764851450920105
15977,-9252,25223,-8304,5012,5778,X,1,-0.7764851450920105
16193,-7979,27352,-5988,7014,4909,X,1,-0.7764851450920105
20071,-6853,22684,-3090,5057,4141,X,1,-0.7764851450920105
22220,-6074,18755,-1280,2156,2448,X,1,-0.7764851450920105
21389,-5184,20047,-490,960,309,X,1,-0.7764851450920105
18311,-5179,18515,810,995,-1391,X,1,-0.7764851450920105
19098,-5421,15224,2209,1569,-2104,X,1,-0.7764851450920105
23320,-5810,13809,3072,2341,-2906,X,1,-0.7764851450920105
26208,-7092,13899,3711,3009,-4835,X,1,-0.7764851450920105
25203,-9296,13415,4552,3452,-7554,X,1,-0.7764851450920105
21621,-11458,11448,5520,3532,-10301,X,1,-0.7764851450920105
15972,-12793,8386,6490,3958,-12555,X,1,-0.7764851450920105
11055,-13114,4206,7507,4523,-13957,X,1,-0.7764851450920105
6501,-13311,-99,8091,3543,-14794,X,1,-0.7764851450920105
1503,-12379,-1409,7820,1735,-15295,X,1,-0.7764851450920105
-2784,-10792,-1214,7160,893,-15072,X,1,-0.7764851450920105
-6335,-9419,-1592,6770,1086,-14075,X,1,-0.7764851450920105
-9762,-8123,-3648,6696,814,-12631,X,1,-0.7764851450920105
-12726,-6346,-6080,6068,-931,-11002,X,1,-0.7764851450920105
-14883,-4558,-7148,4623,-1771,-9023,X,1,-0.7764851450920105
-16272,-3427,-7263,2921,-1725,-6665,X,1,-0.7764851450920105
-16867,-2669,-7201,1269,-1230,-4067,X,1,-0.7764851450920105
-16263,-2475,-7145,-443,-147,-1358,X,1,-0.7764851450920105
-13985,-2725,-5025,-2270,639,1114,X,1,-0.7764851450920105
-11154,-2791,-1707,-3591,547,2836,X,1,-0.7764851450920105
-9621,-2876,245,-3925,163,3734,X,1,-0.7764851450920105
-9509,-2989,102,-3733,-344,4346,X,1,-0.7764851450920105
-9427,-3594,-332,-3823,-528,5255,X,1,-0.7764851450920105
-8101,-4448,823,-4347,-822,6451,X,1,-0.7764851450920105
-6165,-5280,2252,-4796,-1072,7581,X,1,-0.7764851450920105
-5588,-5977,2834,-5030,-908,8438,X,1,-0.7764851450920105
-6668,-7810,2825,-5348,-145,9432,X,1,-0.7764851450920105
-7040,-10607,4532,-5947,278,11079,X,1,-0.7764851450920105
-2904,-13029,8066,-6272,-1402,13331,X,1,-0.7764851450920105
5140,-14967,8268,-5764,-2731,15510,X,1,-0.7764851450920105
11834,-16883,7610,-5676,-1564,16336,X,1,-0.7764851450920105
12345,-17341,12408,-6422,-776,15689,X,1,-0.7764851450920105
21999,-16080,18096,-5947,-2363,15712,X,1,-0.7764851450920105
32496,-11306,17225,-3681,-3645,13999,X,1,-0.7764851450920105
32190,-6553,14938,-2076,-1514,8715,X,1,-0.7764851450920105
25497,-4660,16554,-1474,278,3725,X,1,-0.7764851450920105
20077,-3712,13588,-227,-438,978,X,1,-0.7764851450920105
15917,-2959,9258,568,-819,-667,X,1,-0.7764851450920105
20977,-2205,2721,173,-2193,-654,X,2,-1.2538563013076782
24757,-3090,3471,381,-2168,-2028,X,2,-1.2538563013076782
26532,-4249,5454,793,-1794,-4039,X,2,-1.2538563013076782
25745,-5051,6641,1726,-2906,-6561,X,2,-1.2538563013076782
21382,-6349,3628,2857,-5952,-9071,X,2,-1.2538563013076782
16329,-8100,189,3451,-5559,-11248,X,2,-1.2538563013076782
9546,-7801,-394,3586,-3020,-12941,X,2,-1.2538563013076782
4973,-7182,-1304,3807,-2033,-13485,X,2,-1.2538563013076782
646,-5940,-3002,3687,-2518,-13374,X,2,-1.2538563013076782
-2858,-4352,-4623,3338,-1587,-12518,X,2,-1.2538563013076782
-5250,-3591,-5299,2606,-845,-11053,X,2,-1.2538563013076782
-7655,-2621,-3527,1650,-1029,-9642,X,2,-1.2538563013076782
-10550,-1524,-1616,1103,-2114,-8401,X,2,-1.2538563013076782
-12829,-966,-1279,1236,-2028,-6869,X,2,-1.2538563013076782
-13672,-126,-2368,1603,-1498,-4829,X,2,-1.2538563013076782
-12905,346,-3760,1645,-943,-2541,X,2,-1.2538563013076782
-11465,338,-4633,1299,-58,-500,X,2,-1.2538563013076782
-10584,10,-4332,640,214,1014,X,2,-1.2538563013076782
-11007,-592,-3167,26,305,2262,X,2,-1.2538563013076782
-12041,-1615,-2708,-230,751,3731,X,2,-1.2538563013076782
-12460,-3157,-3097,-291,1480,5635,X,2,-1.2538563013076782
-10989,-4992,-3375,-470,2366,7880,X,2,-1.2538563013076782
-8599,-7022,-3566,-856,3605,9998,X,2,-1.2538563013076782
-7661,-8860,-4066,-1466,4809,11773,X,2,-1.2538563013076782
-7630,-11691,-4459,-2390,5767,13622,X,2,-1.2538563013076782
-5471,-15979,-4277,-3716,5748,15874,X,2,-1.2538563013076782
2424,-21117,-3487,-5200,5249,18458,X,2,-1.2538563013076782
23598,-23520,1003,-6780,4580,19921,X,2,-1.2538563013076782
32708,-16629,10254,-7438,3221,16325,X,2,-1.2538563013076782
32708,-12004,16677,-5867,2711,10285,X,2,-1.2538563013076782
32282,-10458,12256,-2633,2086,5724,X,2,-1.2538563013076782
27486,-8877,3247,-337,-456,2467,X,2,-1.2538563013076782
24929,-7157,673,-350,-805,839,X,2,-1.2538563013076782
23500,-5820,3774,-928,790,-206,X,2,-1.2538563013076782
23169,-4948,4938,-463,1644,-1253,X,2,-1.2538563013076782
23743,-5211,637,637,1515,-2480,X,2,-1.2538563013076782
24104,-5797,-3815,911,1665,-3927,X,2,-1.2538563013076782
25204,-6415,-4305,177,2529,-5500,X,2,-1.2538563013076782
25048,-7468,-4872,-486,3556,-7366,X,2,-1.2538563013076782
22696,-8886,-6197,-1071,3699,-9455,X,2,-1.2538563013076782
20922,-9738,-6530,-1889,3740,-11321,X,2,-1.2538563013076782
15060,-11310,-4789,-2757,4169,-13326,X,2,-1.2538563013076782
7744,-11571,-3581,-3205,3999,-14798,X,2,-1.2538563013076782
2512,-10698,-2713,-3456,3068,-15166,X,2,-1.2538563013076782
-988,-9896,-770,-3494,2271,-14929,X,2,-1.2538563013076782
-3393,-8994,434,-3203,1693,-14326,X,2,-1.2538563013076782
-6292,-7931,1119,-2863,1221,-13713,X,2,-1.2538563013076782
-10575,-6674,1822,-2633,531,-12851,X,2,-1.2538563013076782
-14431,-5591,2367,-2628,-788,-11302,X,2,-1.2538563013076782
-18481,-3811,4093,-2836,-788,-8943,X,2,-1.2538563013076782
-19821,-2681,6040,-2672,-269,-5634,X,2,-1.2538563013076782
-17706,-2380,6496,-1975,281,-1921,X,2,-1.2538563013076782
-13601,-2680,5659,-1267,675,1085,X,2,-1.2538563013076782
-11051,-3138,5596,-996,468,2751,X,2,-1.2538563013076782
-10123,-3634,7017,-893,-51,3660,X,2,-1.2538563013076782
-9843,-4096,7909,-455,-520,4490,X,2,-1.2538563013076782
-9811,-4933,7539,198,-639,5509,X,2,-1.2538563013076782
-9779,-6096,7222,737,-695,6763,X,2,-1.2538563013076782
-9871,-7565,6677,1299,-638,8361,X,2,-1.2538563013076782
-9028,-9803,6876,1895,-502,10411,X,2,-1.2538563013076782
-8489,-13318,7422,2641,-340,12756,X,2,-1.2538563013076782
-6600,-19009,7853,3569,-387,15557,X,2,-1.2538563013076782
-942,-25884,9350,4694,-879,18633,X,2,-1.2538563013076782
8895,-31118,5730,6694,-1370,21427,X,2,-1.2538563013076782
26188,-31842,-4390,8487,-905,23117,X,2,-1.2538563013076782
32708,-22988,-11129,7321,-1231,20391,X,2,-1.2538563013076782
32708,-13104,-4731,3891,-2518,12766,X,2,-1.2538563013076782
32708,-9098,-82,2353,-3121,6684,X,2,-1.2538563013076782
28216,-6826,-3892,2384,-1846,3051,X,2,-1.2538563013076782
19990,-4993,-4318,1529,33,1058,X,2,-1.2538563013076782
16970,-3443,-2346,440,1306,554,X,2,-1.2538563013076782
17602,-2466,-737,-205,1760,285,X,2,-1.2538563013076782
18019,-2048,-165,-593,989,-685,X,2,-1.2538563013076782
16087,-2178,-278,-968,-76,-2116,X,2,-1.2538563013076782
12965,-2671,136,-1421,-615,-3283,X,2,-1.2538563013076782
9221,-2788,1935,-1827,-563,-3858,X,2,-1.2538563013076782
29370,-3101,2678,-974,-3744,-1003,X,3,-1.700984239578247
32319,-4877,3278,-696,-6586,-3935,X,3,-1.700984239578247
30693,-8212,419,-36,-7810,-7693,X,3,-1.700984239578247
23306,-8346,-2006,490,-6296,-11628,X,3,-1.700984239578247
