ax,ay,az,gx,gy,gz,name,n,initial_row_angle
546,-7028,11842,-1904,548,20,down_I,2,0.018511325120925903
245,-7036,11595,-1383,463,-132,down_I,2,0.018511325120925903
-563,-7017,11401,-874,157,-270,down_I,2,0.018511325120925903
-939,-7091,11324,-429,-68,-244,down_I,2,0.018511325120925903
-1080,-7011,10906,-32,-11,-127,down_I,2,0.018511325120925903
-522,-6994,11007,283,125,26,down_I,2,0.018511325120925903
-577,-6895,10253,677,171,64,down_I,2,0.018511325120925903
-108,-6840,10633,947,62,134,down_I,2,0.018511325120925903
-80,-6820,10749,1303,68,94,down_I,2,0.018511325120925903
-92,-6892,10448,1762,-35,33,down_I,2,0.018511325120925903
-240,-6974,10336,2184,-162,-11,down_I,2,0.018511325120925903
-551,-7260,9746,2578,-95,-26,down_I,2,0.018511325120925903
-652,-7163,9057,2873,-172,40,down_I,2,0.018511325120925903
165,-6953,9392,3017,-290,152,down_I,2,0.018511325120925903
334,-6882,9277,3234,-80,108,down_I,2,0.018511325120925903
-342,-6949,9200,3456,218,14,down_I,2,0.018511325120925903
-915,-6962,9078,3702,372,54,down_I,2,0.018511325120925903
-199,-6616,7427,4027,178,243,down_I,2,0.018511325120925903
805,-6102,7247,4023,-90,273,down_I,2,0.018511325120925903
-20,-6052,8117,3913,236,65,down_I,2,0.018511325120925903
-804,-5781,6828,4044,601,50,down_I,2,0.018511325120925903
26,-5269,7265,3948,551,238,down_I,2,0.018511325120925903
489,-4934,8245,3926,581,216,down_I,2,0.018511325120925903
-655,-4608,6380,4276,531,63,down_I,2,0.018511325120925903
-600,-3729,4430,4335,-52,156,down_I,2,0.018511325120925903
-355,-4093,4537,-3436,513,-458,down_I,3,-0.04211961105465889
-1678,-4506,5162,-3801,815,-476,down_I,3,-0.04211961105465889
-429,-4802,5643,-3892,279,-213,down_I,3,-0.04211961105465889
363,-5413,5687,-3951,30,-186,down_I,3,-0.04211961105465889
-624,-5717,6264,-4124,26,-319,down_I,3,-0.04211961105465889
-443,-6032,7154,-4195,-238,-187,down_I,3,-0.04211961105465889
-382,-6362,6682,-4148,-89,-85,down_I,3,-0.04211961105465889
-734,-6700,7153,-4267,27,-47,down_I,3,-0.04211961105465889
-325,-6704,7856,-4168,-512,53,down_I,3,-0.04211961105465889
217,-7146,7712,-3917,-965,103,down_I,3,-0.04211961105465889
372,-7354,7481,-3887,-875,107,down_I,3,-0.04211961105465889
1542,-7839,10458,-4237,-336,129,down_I,3,-0.04211961105465889
-173,-7857,10989,-3872,373,-186,down_I,3,-0.04211961105465889
-902,-8024,10220,-3279,440,-189,down_I,3,-0.04211961105465889
-1099,-7979,9972,-2889,192,-29,down_I,3,-0.04211961105465889
-42,-7735,10992,-2612,-50,178,down_I,3,-0.04211961105465889
1209,-7685,12146,-2210,144,190,down_I,3,-0.04211961105465889
303,-7546,10736,-1457,467,-111,down_I,3,-0.04211961105465889
-109,-7489,11004,-1028,307,-260,down_I,3,-0.04211961105465889
-290,-7612,12180,-577,127,-322,down_I,3,-0.04211961105465889
-871,-7582,10953,235,84,-335,down_I,3,-0.04211961105465889
-488,-7647,10372,727,-25,-212,down_I,3,-0.04211961105465889
-668,-7732,10258,1033,64,-175,down_I,3,-0.04211961105465889
-1165,-7606,9739,1394,51,-90,down_I,3,-0.04211961105465889
-191,-7490,10243,1676,-320,107,down_I,3,-0.04211961105465889
163,-7473,10436,2043,-302,85,down_I,3,-0.04211961105465889
-319,-7553,9870,2508,-170,-24,down_I,3,-0.04211961105465889
-256,-7735,9376,2855,-75,1,down_I,3,-0.04211961105465889
-681,-7895,8697,3098,168,30,down_I,3,-0.04211961105465889
-496,-7500,8296,3276,0,158,down_I,3,-0.04211961105465889
385,-7379,9314,3363,-220,224,down_I,3,-0.04211961105465889
-180,-7426,8401,3733,-35,70,down_I,3,-0.04211961105465889
-444,-7341,8021,3894,15,50,down_I,3,-0.04211961105465889
-762,-6994,7975,3992,-49,109,down_I,3,-0.04211961105465889
-230,-6528,7325,4171,-206,249,down_I,3,-0.04211961105465889
267,-6022,6898,4217,-239,289,down_I,3,-0.04211961105465889
338,-5601,6902,4209,-284,192,down_I,3,-0.04211961105465889
5,-5259,6635,4182,-68,106,down_I,3,-0.04211961105465889
-103,-4915,5684,4103,315,131,down_I,3,-0.04211961105465889
-527,-4553,4698,3892,500,186,down_I,3,-0.04211961105465889
-86,-3611,5144,3568,97,303,down_I,3,-0.04211961105465889
617,-3160,6307,3375,-262,283,down_I,3,-0.04211961105465889
-406,-4281,3389,-3932,258,-419,down_I,4,-0.08214300870895386
-892,-4937,4514,-4158,-64,-368,down_I,4,-0.08214300870895386
-739,-5475,4474,-4144,-517,-203,down_I,4,-0.08214300870895386
-49,-6022,4478,-4283,-872,-22,down_I,4,-0.08214300870895386
943,-6750,5110,-4610,-913,56,down_I,4,-0.08214300870895386
801,-7688,6799,-5057,-430,-112,down_I,4,-0.08214300870895386
-341,-8141,9090,-5170,-240,-298,down_I,4,-0.08214300870895386
230,-7984,9939,-4731,-826,-140,down_I,4,-0.08214300870895386
1874,-7839,9959,-4172,-1398,8,down_I,4,-0.08214300870895386
1417,-8053,9890,-3749,-1444,-185,down_I,4,-0.08214300870895386
239,-8387,10098,-3539,-925,-240,down_I,4,-0.08214300870895386
-851,-8476,9947,-3417,-129,-49,down_I,4,-0.08214300870895386
-422,-8290,10261,-3399,627,349,down_I,4,-0.08214300870895386
1693,-8021,11583,-3221,642,600,down_I,4,-0.08214300870895386
2646,-7951,13283,-2668,120,290,down_I,4,-0.08214300870895386
905,-8030,14279,-1791,-154,-307,down_I,4,-0.08214300870895386
-854,-8033,13582,-777,-249,-488,down_I,4,-0.08214300870895386
-1299,-7925,11754,-69,76,-188,down_I,4,-0.08214300870895386
-513,-7397,10951,217,223,204,down_I,4,-0.08214300870895386
1067,-7067,12246,379,185,401,down_I,4,-0.08214300870895386
1269,-7112,12408,925,357,219,down_I,4,-0.08214300870895386
516,-7432,11991,1581,288,-10,down_I,4,-0.08214300870895386
112,-7677,11469,2149,41,-49,down_I,4,-0.08214300870895386
-112,-7713,10102,2604,51,27,down_I,4,-0.08214300870895386
409,-7494,9689,2771,114,160,down_I,4,-0.08214300870895386
826,-7513,10182,2913,220,163,down_I,4,-0.08214300870895386
277,-7529,9402,3338,154,33,down_I,4,-0.08214300870895386
471,-7403,8682,3690,-228,34,down_I,4,-0.08214300870895386
